PlantNumber,AccessionID,PlantID,EXPID
172,NSW.1.F2-LING-HA.SE,24172,BVZ0047
173,NSW.1.G1-LING-ME.DE,24173,BVZ0047
174,NSW.1.G2-LING-ME.DE,24174,BVZ0047
175,NSW.1.H1-LING-ME.NO,24175,BVZ0047
176,NSW.1.H2-LING-ME.NO,24176,BVZ0047
177,NSW.2.A1-LING-AC.PA,24177,BVZ0047
178,NSW.2.A2-LING-AC.PA,24178,BVZ0047
179,NSW.2.B1-LING-EU.AM,24179,BVZ0047
180,NSW.2.B2-LING-EU.AM,24180,BVZ0047
181,NSW.2.C1-LING-EU.FI,24181,BVZ0047
182,NSW.2.C2-LING-EU.FI,24182,BVZ0047
183,NSW.2.D1-LING-EU.MO,24183,BVZ0047
184,NSW.2.D2-LING-EU.MO,24184,BVZ0047
185,NSW.2.E1-LING-ME.TE,24185,BVZ0047
186,NSW.2.E2-LING-ME.TE,24186,BVZ0047
187,NSW.2.F1-LING-HA.SE,24187,BVZ0047
188,NSW.2.F2-LING-HA.SE,24188,BVZ0047
189,NSW.2.G1-LING-ME.DE,24189,BVZ0047
190,NSW.2.G2-LING-ME.DE,24190,BVZ0047
191,NSW.2.H1-LING-ME.NO,24191,BVZ0047
192,NSW.2.H2-LING-ME.NO,24192,BVZ0047
193,NSW.3.A1-LING-AC.PA,24193,BVZ0047
194,NSW.3.A2-LING-AC.PA,24194,BVZ0047
195,NSW.3.B1-LING-EU.AM,24195,BVZ0047
196,NSW.3.B2-LING-EU.AM,24196,BVZ0047
197,NSW.3.C1-LING-EU.FI,24197,BVZ0047
198,NSW.3.C2-LING-EU.FI,24198,BVZ0047
199,NSW.3.D1-LING-EU.MO,24199,BVZ0047
200,NSW.3.D2-LING-EU.MO,24200,BVZ0047
201,NSW.3.E1-LING-ME.TE,24201,BVZ0047
202,NSW.3.E2-LING-ME.TE,24202,BVZ0047
203,NSW.3.F1-LING-HA.SE,24203,BVZ0047
204,NSW.3.F2-LING-HA.SE,24204,BVZ0047
205,NSW.3.G1-LING-ME.DE,24205,BVZ0047
206,NSW.3.G2-LING-ME.DE,24206,BVZ0047
207,NSW.3.H1-LING-ME.NO,24207,BVZ0047
208,NSW.3.H2-LING-ME.NO,24208,BVZ0047
209,NSW.4.A1-LING-AC.PA,24209,BVZ0047
210,NSW.4.A2-LING-AC.PA,24210,BVZ0047
211,NSW.4.B1-LING-EU.AM,24211,BVZ0047
212,NSW.4.B2-LING-EU.AM,24212,BVZ0047
213,NSW.4.C1-LING-EU.FI,24213,BVZ0047
214,NSW.4.C2-LING-EU.FI,24214,BVZ0047
215,NSW.4.D1-LING-EU.MO,24215,BVZ0047
216,NSW.4.D2-LING-EU.MO,24216,BVZ0047
217,NSW.4.E1-LING-ME.TE,24217,BVZ0047
218,NSW.4.E2-LING-ME.TE,24218,BVZ0047
219,NSW.4.F1-LING-HA.SE,24219,BVZ0047
220,NSW.4.F2-LING-HA.SE,24220,BVZ0047
221,NSW.4.G1-LING-ME.DE,24221,BVZ0047
222,NSW.4.G2-LING-ME.DE,24222,BVZ0047
223,NSW.4.H1-LING-ME.NO,24223,BVZ0047
224,NSW.4.H2-LING-ME.NO,24224,BVZ0047
225,NSW.5.A1-LING-AC.PA,24225,BVZ0047
226,NSW.5.A2-LING-AC.PA,24226,BVZ0047
227,NSW.5.B1-LING-EU.AM,24227,BVZ0047
228,NSW.5.B2-LING-EU.AM,24228,BVZ0047
229,NSW.5.C1-LING-EU.FI,24229,BVZ0047
230,NSW.5.C2-LING-EU.FI,24230,BVZ0047
231,NSW.5.D1-LING-EU.MO,24231,BVZ0047
232,NSW.5.D2-LING-EU.MO,24232,BVZ0047
233,NSW.5.E1-LING-ME.TE,24233,BVZ0047
234,NSW.5.E2-LING-ME.TE,24234,BVZ0047
235,NSW.5.F1-LING-HA.SE,24235,BVZ0047
236,NSW.5.F2-LING-HA.SE,24236,BVZ0047
237,NSW.5.G1-LING-ME.DE,24237,BVZ0047
238,NSW.5.G2-LING-ME.DE,24238,BVZ0047
239,NSW.5.H1-LING-ME.NO,24239,BVZ0047
240,NSW.5.H2-LING-ME.NO,24240,BVZ0047
241,WA.1.A1-LING-AC.AN,24241,BVZ0047
242,WA.1.A2-LING-AC.AN,24242,BVZ0047
243,WA.1.B1-LING-AC.BU,24243,BVZ0047
244,WA.1.B2-LING-AC.BU,24244,BVZ0047
245,WA.1.C1-LING-AC.HE,24245,BVZ0047
246,WA.1.C2-LING-AC.HE,24246,BVZ0047
247,WA.1.D1-LING-AT.NU,24247,BVZ0047
248,WA.1.D2-LING-AT.NU,24248,BVZ0047
249,WA.1.E1-LING-EU.CL,24249,BVZ0047
250,WA.1.E2-LING-EU.CL,24250,BVZ0047
251,WA.1.F1-LING-EU.SAM,24251,BVZ0047
252,WA.1.F2-LING-EU.SAM,24252,BVZ0047
253,WA.1.G1-LING-EU.SAL,24253,BVZ0047
254,WA.1.G2-LING-EU.SAL,24254,BVZ0047
255,WA.1.H1-LING-EU.TR,24255,BVZ0047
256,WA.1.H2-LING-EU.TR,24256,BVZ0047
257,WA.2.A1-LING-AC.AN,24257,BVZ0047
258,WA.2.A2-LING-AC.AN,24258,BVZ0047
259,WA.2.B1-LING-AC.BU,24259,BVZ0047
260,WA.2.B2-LING-AC.BU,24260,BVZ0047
261,WA.2.C1-LING-AC.HE,24261,BVZ0047
262,WA.2.C2-LING-AC.HE,24262,BVZ0047
263,WA.2.D1-LING-AT.NU,24263,BVZ0047
264,WA.2.D2-LING-AT.NU,24264,BVZ0047
265,WA.2.E1-LING-EU.CL,24265,BVZ0047
266,WA.2.E2-LING-EU.CL,24266,BVZ0047
267,WA.2.F1-LING-EU.SAM,24267,BVZ0047
268,WA.2.F2-LING-EU.SAM,24268,BVZ0047
269,WA.2.G1-LING-EU.SAL,24269,BVZ0047
270,WA.2.G2-LING-EU.SAL,24270,BVZ0047
271,WA.2.H1-LING-EU.TR,24271,BVZ0047
272,WA.2.H2-LING-EU.TR,24272,BVZ0047
273,WA.3.A1-LING-AC.AN,24273,BVZ0047
274,WA.3.A2-LING-AC.AN,24274,BVZ0047
275,WA.3.B1-LING-AC.BU,24275,BVZ0047
276,WA.3.B2-LING-AC.BU,24276,BVZ0047
277,WA.3.C1-LING-AC.HE,24277,BVZ0047
278,WA.3.C2-LING-AC.HE,24278,BVZ0047
279,WA.3.D1-LING-AT.NU,24279,BVZ0047
280,WA.3.D2-LING-AT.NU,24280,BVZ0047
281,WA.3.E1-LING-EU.CL,24281,BVZ0047
282,WA.3.E2-LING-EU.CL,24282,BVZ0047
283,WA.3.F1-LING-EU.SAM,24283,BVZ0047
284,WA.3.F2-LING-EU.SAM,24284,BVZ0047
285,WA.3.G1-LING-EU.SAL,24285,BVZ0047
286,WA.3.G2-LING-EU.SAL,24286,BVZ0047
287,WA.3.H1-LING-EU.TR,24287,BVZ0047
288,WA.3.H2-LING-EU.TR,24288,BVZ0047
289,WA.4.A1-LING-AC.AN,24289,BVZ0047
290,WA.4.A2-LING-AC.AN,24290,BVZ0047
291,WA.4.B1-LING-AC.BU,24291,BVZ0047
292,WA.4.B2-LING-AC.BU,24292,BVZ0047
293,WA.4.C1-LING-AC.HE,24293,BVZ0047
294,WA.4.C2-LING-AC.HE,24294,BVZ0047
295,WA.4.D1-LING-AT.NU,24295,BVZ0047
296,WA.4.D2-LING-AT.NU,24296,BVZ0047
297,WA.4.E1-LING-EU.CL,24297,BVZ0047
298,WA.4.E2-LING-EU.CL,24298,BVZ0047
299,WA.4.F1-LING-EU.SAM,24299,BVZ0047
300,WA.4.F2-LING-EU.SAM,24300,BVZ0047
301,WA.4.G1-LING-EU.SAL,24301,BVZ0047
302,WA.4.G2-LING-EU.SAL,24302,BVZ0047
303,WA.4.H1-LING-EU.TR,24303,BVZ0047
304,WA.4.H2-LING-EU.TR,24304,BVZ0047
305,WA.5.A1-LING-AC.AN,24305,BVZ0047
306,WA.5.A2-LING-AC.AN,24306,BVZ0047
307,WA.5.B1-LING-AC.BU,24307,BVZ0047
308,WA.5.B2-LING-AC.BU,24308,BVZ0047
309,WA.5.C1-LING-AC.HE,24309,BVZ0047
310,WA.5.C2-LING-AC.HE,24310,BVZ0047
311,WA.5.D1-LING-AT.NU,24311,BVZ0047
312,WA.5.D2-LING-AT.NU,24312,BVZ0047
313,WA.5.E1-LING-EU.CL,24313,BVZ0047
314,WA.5.E2-LING-EU.CL,24314,BVZ0047
315,WA.5.F1-LING-EU.SAM,24315,BVZ0047
316,WA.5.F2-LING-EU.SAM,24316,BVZ0047
317,WA.5.G1-LING-EU.SAL,24317,BVZ0047
318,WA.5.G2-LING-EU.SAL,24318,BVZ0047
319,WA.5.H1-LING-EU.TR,24319,BVZ0047
320,WA.5.H2-LING-EU.TR,24320,BVZ0047
321,NT.1.A1-LING-AC.AN,24321,BVZ0047
322,NT.1.A2-LING-AC.AN,24322,BVZ0047
323,NT.1.B1-LING-EU.CA,24323,BVZ0047
324,NT.1.B2-LING-EU.CA,24324,BVZ0047
325,NT.2.A1-LING-AC.AN,24325,BVZ0047
326,NT.2.A2-LING-AC.AN,24326,BVZ0047
327,NT.2.B1-LING-EU.CA,24327,BVZ0047
328,NT.2.B2-LING-EU.CA,24328,BVZ0047
329,NT.3.A1-LING-AC.AN,24329,BVZ0047
330,NT.3.A2-LING-AC.AN,24330,BVZ0047
331,NT.3.B1-LING-EU.CA,24331,BVZ0047
332,NT.3.B2-LING-EU.CA,24332,BVZ0047
333,NT.4.A1-LING-AC.AN,24333,BVZ0047
334,NT.4.A2-LING-AC.AN,24334,BVZ0047
335,NT.4.B1-LING-EU.CA,24335,BVZ0047
336,NT.4.B2-LING-EU.CA,24336,BVZ0047
337,NT.5.A1-LING-AC.AN,24337,BVZ0047
338,NT.5.A2-LING-AC.AN,24338,BVZ0047
339,NT.5.B1-LING-EU.CA,24339,BVZ0047
340,NT.5.B2-LING-EU.CA,24400,BVZ0047
